Game,Date,Team,Opponent,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
,,,,,,,,,,,,,,,,,,,,,,
1,2021-10-19,GSW,LAL,36:11:00,5,21,0.238,2,8,0.25,9,9,1,1,9,10,10,3,0,4,1,21
2,2021-10-21,GSW,LAC,37:33:00,16,25,0.64,8,13,0.615,5,5,1,0,10,10,1,1,1,6,2,45
3,2021-10-24,GSW,SAC,35:16:00,9,23,0.391,4,15,0.267,5,6,0.833,1,6,7,10,3,0,3,1,27
4,2021-10-26,GSW,OKC,32:18:00,6,14,0.429,4,9,0.444,7,7,1,1,5,6,4,0,1,4,1,23
5,2021-10-28,GSW,MEM,40:40:00,11,29,0.379,7,20,0.35,7,7,1,1,6,7,8,1,0,5,2,36
6,2021-10-30,GSW,OKC,27:11:00,7,16,0.438,6,15,0.4,0,0,,0,5,5,6,1,1,2,1,20
7,2021-11-03,GSW,CHO,35:25:00,6,15,0.4,3,11,0.273,0,0,,1,7,8,9,1,1,4,3,15
8,2021-11-05,GSW,NOP,29:45:00,5,16,0.313,5,13,0.385,4,4,1,0,3,3,6,0,2,1,1,19
9,2021-11-07,GSW,HOU,26:49:00,8,16,0.5,4,11,0.364,0,0,,2,1,3,2,3,0,0,3,20
10,2021-11-08,GSW,ATL,35:02:00,14,28,0.5,9,19,0.474,13,13,1,2,5,7,10,4,1,2,0,50
11,2021-11-10,GSW,MIN,34:06:00,8,16,0.5,3,9,0.333,6,8,0.75,0,5,5,6,1,0,3,2,25
12,2021-11-12,GSW,CHI,34:13:00,15,24,0.625,9,17,0.529,1,1,1,0,4,4,5,1,1,6,1,40
13,2021-11-14,GSW,CHO,35:42:00,7,22,0.318,3,13,0.231,7,7,1,1,5,6,10,3,1,3,2,24
14,2021-11-16,GSW,BRK,29:15:00,12,19,0.632,9,14,0.643,4,4,1,0,7,7,5,2,1,2,4,37
15,2021-11-18,GSW,CLE,35:23:00,15,27,0.556,9,16,0.563,1,1,1,0,4,4,6,2,0,3,4,40
,2021-11-19,GSW,DET,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,2021-11-21,GSW,TOR,37:04:00,2,10,0.2,1,6,0.167,7,7,1,0,2,2,8,1,0,4,1,12
17,2021-11-24,GSW,PHI,34:55:00,9,16,0.563,6,11,0.545,1,2,0.5,0,4,4,10,1,0,4,1,25
18,2021-11-26,GSW,POR,38:04:00,12,25,0.48,6,15,0.4,2,3,0.667,0,7,7,8,1,0,3,2,32
19,2021-11-28,GSW,LAC,34:47:00,12,22,0.545,7,13,0.538,2,2,1,0,5,5,6,6,0,3,4,33
20,2021-11-30,GSW,PHO,35:58:00,4,21,0.19,3,14,0.214,1,1,1,1,2,3,2,1,1,2,0,12
21,2021-12-03,GSW,PHO,33:24:00,8,20,0.4,6,11,0.545,1,2,0.5,2,3,5,5,0,0,3,2,23
22,2021-12-04,GSW,SAS,36:52:00,7,28,0.25,5,17,0.294,8,9,0.889,1,7,8,5,3,0,1,1,27
23,2021-12-06,GSW,ORL,30:58:00,8,16,0.5,7,13,0.538,8,8,1,0,3,3,8,2,0,3,2,31
24,2021-12-08,GSW,POR,33:21:00,8,19,0.421,6,17,0.353,0,0,,2,0,2,2,1,0,4,3,22
25,2021-12-11,GSW,PHI,36:14:00,6,20,0.3,3,14,0.214,3,4,0.75,2,7,9,5,0,0,3,1,18
26,2021-12-13,GSW,IND,35:21:00,8,20,0.4,5,15,0.333,5,5,1,1,5,6,6,1,1,7,1,26
27,2021-12-14,GSW,NYK,34:43:00,8,19,0.421,5,14,0.357,1,2,0.5,0,3,3,3,1,1,4,4,22
28,2021-12-17,GSW,BOS,35:15:00,8,21,0.381,5,14,0.357,9,9,1,1,4,5,4,1,0,6,6,30
,2021-12-18,GSW,TOR,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
29,2021-12-20,GSW,SAC,36:14:00,13,27,0.481,4,12,0.333,0,1,0,0,3,3,4,0,2,4,1,30
30,2021-12-23,GSW,MEM,37:19:00,13,22,0.591,8,14,0.571,12,12,1,0,4,4,4,2,0,3,1,46
31,2021-12-25,GSW,PHO,37:12:00,10,27,0.37,5,16,0.313,8,9,0.889,0,4,4,6,3,1,1,3,33
32,2021-12-28,GSW,DEN,39:05:00,6,16,0.375,5,14,0.357,6,7,0.857,0,4,4,4,0,0,6,3,23
33,2022-01-01,GSW,UTA,35:31:00,8,18,0.444,6,12,0.5,6,7,0.857,0,6,6,9,0,1,3,3,28
34,2022-01-03,GSW,MIA,32:01:00,3,17,0.176,1,10,0.1,2,2,1,0,3,3,10,0,1,2,3,9
35,2022-01-05,GSW,DAL,36:04:00,5,24,0.208,1,9,0.111,3,4,0.75,0,9,9,5,0,1,5,2,14
,2022-01-06,GSW,NOP,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
36,2022-01-09,GSW,CLE,36:31:00,10,21,0.476,4,11,0.364,4,4,1,3,2,5,5,1,0,5,3,28
37,2022-01-11,GSW,MEM,38:41:00,8,21,0.381,2,9,0.222,9,10,0.9,1,9,10,10,2,0,3,3,27
38,2022-01-13,GSW,MIL,29:15:00,4,11,0.364,2,6,0.333,2,2,1,0,8,8,4,2,0,4,0,12
39,2022-01-14,GSW,CHI,27:37:00,7,15,0.467,4,10,0.4,1,2,0.5,0,2,2,2,1,0,1,0,19
,2022-01-16,GSW,MIN,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
40,2022-01-18,GSW,DET,28:33:00,6,11,0.545,4,8,0.5,2,2,1,0,3,3,8,3,0,1,1,18
41,2022-01-20,GSW,IND,43:57:00,12,27,0.444,6,16,0.375,9,9,1,0,5,5,8,1,0,2,3,39
42,2022-01-21,GSW,HOU,38:56:00,6,21,0.286,4,13,0.308,6,8,0.75,0,4,4,12,1,1,2,3,22
43,2022-01-23,GSW,UTA,35:02:00,5,20,0.25,1,13,0.077,2,2,1,2,2,4,6,0,0,1,0,13
44,2022-01-25,GSW,DAL,28:58:00,7,16,0.438,2,10,0.2,2,3,0.667,2,7,9,7,1,0,4,3,18
45,2022-01-27,GSW,MIN,38:21:00,10,20,0.5,6,10,0.6,3,3,1,0,8,8,6,3,0,4,1,29
46,2022-01-29,GSW,BRK,35:31:00,5,18,0.278,3,10,0.3,6,6,1,2,5,7,8,3,0,5,5,19
47,2022-01-31,GSW,HOU,37:57:00,13,23,0.565,7,14,0.5,7,8,0.875,0,5,5,9,1,1,1,0,40
,2022-02-01,GSW,SAS,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
48,2022-02-03,GSW,SAC,31:40:00,7,11,0.636,4,7,0.571,2,2,1,0,1,1,7,2,0,4,4,20
49,2022-02-07,GSW,OKC,36:34:00,6,12,0.5,4,10,0.4,2,2,1,0,9,9,10,1,0,4,2,18
50,2022-02-09,GSW,UTA,29:39:00,5,13,0.385,3,8,0.375,3,4,0.75,1,6,7,2,0,0,4,2,16
51,2022-02-10,GSW,NYK,39:08:00,11,25,0.44,5,16,0.313,8,8,1,0,2,2,10,1,0,3,5,35
52,2022-02-12,GSW,LAL,36:36:00,7,17,0.412,1,8,0.125,9,9,1,0,5,5,8,1,0,2,3,24
53,2022-02-14,GSW,LAC,33:49:00,11,18,0.611,8,13,0.615,3,3,1,0,2,2,2,0,0,4,2,33
54,2022-02-16,GSW,DEN,39:06:00,10,19,0.526,1,7,0.143,4,4,1,0,3,3,6,0,0,2,2,25
55,2022-02-24,GSW,POR,27:27:00,5,11,0.455,2,7,0.286,6,6,1,0,5,5,14,1,1,3,3,18
56,2022-02-27,GSW,DAL,38:04:00,11,25,0.44,3,10,0.3,2,4,0.5,1,3,4,10,2,0,1,0,27
57,2022-03-01,GSW,MIN,33:13:00,10,24,0.417,5,16,0.313,9,9,1,1,4,5,4,0,0,4,1,34
58,2022-03-03,GSW,DAL,40:26:00,8,15,0.533,4,5,0.8,1,1,1,0,5,5,9,1,0,3,3,21
59,2022-03-05,GSW,LAL,35:41:00,13,22,0.591,4,9,0.444,0,0,,0,4,4,1,0,0,4,0,30
,2022-03-07,GSW,DEN,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
60,2022-03-08,GSW,LAC,35:03:00,5,12,0.417,1,6,0.167,4,4,1,0,5,5,5,3,0,4,4,15
61,2022-03-10,GSW,DEN,37:58:00,11,21,0.524,5,12,0.417,7,7,1,0,9,9,3,2,0,2,1,34
62,2022-03-12,GSW,MIL,33:09:00,3,7,0.429,2,4,0.5,0,0,,1,4,5,8,1,1,4,1,8
